Rank,University,Town
635,Bennington College,Bennington
1311,Warner Pacific University,Portland
456,Seattle Pacific University,Seattle
811,Franklin W. Olin College of Engineering,Needham
725,Fayetteville State University,Fayetteville
518,Morgan State University,Baltimore
228,University of Toledo,Toledo
1607,Southern College of Optometry,Memphis
736,Lehman College-CUNY,The Bronx
1702,Pillar College,Newark
778,McDaniel College,Westminster
694,Indiana Wesleyan University,Marion
1279,Thomas Jefferson School of Law,San Diego
981,Mississippi University for Women,Columbus
201,University of Massachusetts Boston,Boston
544,Georgia College and State University,Milledgeville
1549,Pacifica Graduate Institute,Carpinteria
848,Mitchell Hamline School of Law,Saint Paul
621,St. Mary's University,San Antonio
1508,Cairn University,Langhorne
1605,Lake Erie College,Painesville
1406,Columbia College-South Carolina,Columbia
1215,National American University,Rapid City
670,The University of Texas at Tyler,Tyler
1057,Southeastern University,Lakeland
339,State University of New York at Oswego,Oswego
876,Lynn University,Boca Raton
1347,Concord University,Athens
460,SUNY Cortland,Cortland
1286,Carlow University,Pittsburgh
600,University of North Carolina at Asheville,Asheville
509,Widener University,Chester
1272,Cumberland University,Lebanon
1729,Indiana University Fort Wayne,Fort Wayne
1224,AdventHealth University,Orlando
1480,Alliance University,New York City
364,Gonzaga University,Spokane
30,Arizona State University,Tempe
560,Kettering University,Flint
162,University of Louisville,Louisville
1141,Dakota Wesleyan University,Mitchell
137,California State University-Northridge,Northridge
825,Park University,Parkville
812,University of the District of Columbia,Washington
514,Texas Woman's University,Denton
1717,St. Louis Christian College,Florissant
293,Eastern Kentucky University,Richmond
1360,Shaw University,Raleigh
267,Monmouth University,West Long Branch
1660,Columbia College Hollywood,Tarzana
687,Pennsylvania Academy of the Fine Arts,Philadelphia
1581,Indiana University Kokomo,Kokomo
1191,Shorter University,Rome
289,The University of Alabama in Huntsville,Huntsville
1229,Morningside University,Sioux City
225,University of Colorado Denver,Denver
1529,Florida Memorial University,Miami Gardens
125,Brandeis University,Waltham
1288,Westminster College-Missouri,Fulton
165,Swarthmore College,Swarthmore
1071,Virginia Wesleyan University,Virginia Beach
1322,Lyon College,Batesville
964,Columbia College,Columbia
414,Occidental College,Los Angeles
1052,Bethel College,North Newton
1627,Presentation College,Aberdeen
215,Villanova University,Villanova
9,Yale University,New Haven
555,Southern Utah University,Cedar City
927,Simpson College,Indianola
890,Albany State University,Albany
792,Lincoln Memorial University,Harrogate
338,Hamilton College,Clinton
1099,Birmingham-Southern College,Birmingham
392,SUNY College of Environmental Science and Forestry,Syracuse
660,Kutztown University of Pennsylvania,Kutztown
1097,SUNY Cobleskill,Cobleskill
314,Earlham College,Richmond
1186,Spalding University,Louisville
982,Southwestern Oklahoma State University,Weatherford
487,Youngstown State University,Youngstown
384,Long Island University,Brookville
1458,Logan University,Chesterfield
1167,Air Force Institute of Technology,Wright-Patterson AFB
1442,Dunwoody College of Technology,Minneapolis
1015,Indiana University South Bend,South Bend
1089,Millsaps College,Jackson
887,University of North Texas Health Science Center,Fort Worth
494,Eastern Washington University,Cheney
919,Westminster College-Pennsylvania,New Wilmington
1398,Paine College,Augusta
1411,Western Nevada College,Carson City
1236,Southern University at New Orleans,New Orleans
1271,Brevard College,Brevard
1180,Rocky Mountain College of Art and Design,Lakewood
531,Saint Anselm College,Manchester
1337,Newman University,Wichita
1174,Vermont State University-Johnson,Johnson
554,Illinois Wesleyan University,Bloomington
404,Indiana University of Pennsylvania,Indiana
326,Hillsdale College,Hillsdale
411,DeVry University,Naperville
1402,Cazenovia College,Cazenovia
160,The University of Texas at Dallas,Richardson
370,Northern Michigan University,Marquette
454,Stephen F. Austin State University,Nacogdoches
1687,Clear Creek Baptist Bible College,Pineville
33,University of Maryland,College Park
468,Samford University,Birmingham
349,University of the Pacific,Stockton
645,Augustana College,Rock Island
711,Prairie View A&M University,Prairie View
626,Bryant University,Smithfield
657,Washington College,Chestertown
341,Savannah College of Art and Design,Savannah
101,Clemson University,Clemson
1545,Villa Maria College,Buffalo
492,University of Hartford,West Hartford
235,University of Southern Mississippi,Hattiesburg
1733,College of Staten Island,Staten Island
465,Hope College,Holland
25,Carnegie Mellon University,Pittsburgh
666,National Louis University,Chicago
178,University of Montana,Missoula
1635,Bryn Athyn College,Bryn Athyn
1203,Gardner-Webb University,Boiling Springs
1410,University of Western States,Portland
1434,St. Johns River State College,Palatka
731,Texas A&M University-Kingsville,Kingsville
1267,Goodwin University,East Hartford
452,ArtCenter College of Design,Pasadena
1705,New York City College of Technology-CUNY,Brooklyn
539,Uniformed Services University of the Health Sciences,Bethesda
830,Lake Forest College,Lake Forest
680,St. John Fisher University,Rochester
397,Emerson College,Boston
377,Shippensburg University of Pennsylvania,Shippensburg
988,Palm Beach State College,Lake Worth
1016,Hunter College-CUNY,New York City
997,King University,Bristol
875,Northwestern State University of Louisiana,Natchitoches
1023,Saint Martin's University,Lacey
841,Marian University,Indianapolis
1221,Bloomfield College,Bloomfield
883,Robert Morris University,Moon Township
24,University of Southern California,Los Angeles
646,Ohio Northern University,Ada
21,New York University,New York City
1340,Belmont Abbey College,Belmont
1111,Curry College,Milton
1664,American Film Institute Conservatory,Los Angeles
61,Colorado State University,Fort Collins
1481,University of Health Sciences and Pharmacy in St. Louis,St. Louis
419,The University of Tennessee at Chattanooga,Chattanooga
945,University of Mary Hardin-Baylor,Belton
1395,Clarkson College,Omaha
1637,John Paul the Great Catholic University,Escondido
765,Colorado Christian University,Lakewood
1722,Bethesda University,Anaheim
343,South Dakota State University,Brookings
3,Stanford University,Stanford
152,Loyola University Chicago,Chicago
1359,Culver-Stockton College,Canton
772,Springfield College,Springfield
637,North Central College,Naperville
1128,McKendree University,Lebanon
481,Morehouse College,Atlanta
1478,Mayville State University,Mayville
947,Francis Marion University,Florence
759,Gannon University,Erie
246,Hofstra University,Hempstead
1315,Georgia Gwinnett College,Lawrenceville
389,Bradley University,Peoria
679,Wilkes University,Wilkes-Barre
1183,SUNY College at Old Westbury,Old Westbury
1679,Boise Bible College,Boise
1593,University of Valley Forge,Phoenixville
1130,Soka University of America,Aliso Viejo
1330,Great Basin College,Elko
603,Gustavus Adolphus College,St. Peter
1002,Fitchburg State University,Fitchburg
448,Florida Agricultural and Mechanical University,Tallahassee
1204,Rocky Mountain College,Billings
1603,Pacific Oaks College,Pasadena
469,University of Illinois at Springfield,Springfield
274,Marshall University,Huntington
1238,Lubbock Christian University,Lubbock
121,San Francisco State University,San Francisco
396,Central Connecticut State University,New Britain
1479,Warner University,Lake Wales
-1,Saint Anthony College of Nursing,Rockford
365,Augusta University,Augusta
1124,University of Jamestown,Jamestown
992,Dordt University,Sioux Center
1713,Ecclesia College,Springdale
842,Kentucky State University,Frankfort
1706,Wade College,Dallas
513,Goucher College,Baltimore
1278,Voorhees University,Denmark
1610,Kettering College,Kettering
106,American University,Washington
367,University of Wisconsin-Green Bay,Green Bay
1351,Berkeley College,New York City
443,Utah Valley University,Orem
900,The University of West Alabama,Livingston
390,California State University-Dominguez Hills,Carson
199,The University of Memphis,Memphis
46,University of California-Santa Barbara,Santa Barbara
1676,Labouré College,Milton
70,University of Notre Dame,Notre Dame
